"","catch_ID","session_ID","month","day","year","island_code","subisland_code","site_code","lat","long","capture_time","capture_hour","capture_min","release_time","species","band_no","recapture","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","sex","measurers","flagged","notes"
"1","20050707_SCI_ND_01","20050707_SCI_ND",7,7,2005,"SCI","SR","ND","ND","ND","7/8/2005 3:20",3,20,"7/8/2005 3:32","CAAU","1313-70010","N","N","ND","200","31","169","ND","ND","ND","ND","ND","ND","JA","N","TDR = 9985"
"2","19940514_ANI_RR_01","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60726","Y","N","0","31","0","31","14.3","ND","21.6","136","ND","ND","HRC, MOP","N",NA
"3","19940514_ANI_RR_02","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 20:59",20,59,"ND","ASSP","1401-60783","N","N","0","35","0","35","14.3","ND","22.9","131","ND","ND","HRC, MOP","N",NA
"4","19940514_ANI_RR_03","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60784","N","N","0","26","0","26","13.7","ND","20.6","130","ND","ND","HRC, MOP","N",NA
"5","19940514_ANI_RR_04","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60785","N","N","4","35","0","35","15","ND","23.9","135","ND","ND","HRC, MOP","N",NA
"6","19940514_ANI_RR_05","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:01",23,1,"ND","ASSP","1401-60786","N","N","4","38","0","38","14.3","ND","23.7","133","ND","ND","HRC, MOP","N",NA
"7","19940514_ANI_RR_06","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:18",23,18,"ND","ASSP","1401-60787","N","N","1","33","0","33","13.9","ND","22.6","130","ND","ND","HRC, MOP","N",NA
"8","19940514_ANI_RR_07","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:35",23,35,"ND","ASSP","1401-60788","N","N","3","44","0","44","13.8","ND","20","143","ND","ND","HRC, MOP","N",NA
"9","19940514_ANI_RR_08","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:38",23,38,"ND","ASSP","1401-60789","N","N","0","44","0","44","14.2","ND","22.5","133","ND","ND","HRC, MOP","N",NA
"10","19940514_ANI_RR_09","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/15/1994 0:01",0,1,"ND","ASSP","1401-60790","N","N","4","36","0","36","14.2","ND","21.7","139","ND","ND","HRC, MOP","N",NA
"11","19940514_ANI_RR_10","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/15/1994 1:03",1,3,"ND","ASSP","1401-60791","N","N","0","36","0","36","14.4","ND","22","142","ND","ND","HRC, MOP","N",NA
"12","20040819_SCI_ND_01","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:07",21,7,"8/19/2004 21:28","ASSP","1901-38340","N","N","4.5","64","27","37","14.88","37.59","23.26","138","ND","F","JA","N","RADIO = 4680; PUKED OIL - FULL BELLY"
"13","20040819_SCI_ND_02","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:07",21,7,"8/19/2004 21:17","ASSP","1901-38341","N","N","0","58","26","32","13.89","37.23","24.05","138","ND","ND","HMN","N","SECOND COVERTS VERY WORN/EATEN, PRIM WORN-FEATHER MITES"
"14","20040819_SCI_ND_03","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:19",21,19,"8/19/2004 22:29","ASSP","1901-38342","N","N","0","62","26","36","14.09","39.72","23.04","142","ND","ND","HMN","N","PUKED OIL"
"15","20040819_SCI_ND_04","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:36",22,36,"8/19/2004 22:49","ASSP","1901-38343","N","N","0","58","26","32","15.02","38.17","22.94","141","ND","ND","JA","N",NA
"16","20040819_SCI_ND_05","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:46",22,46,"8/19/2004 22:53","ASSP","1901-38344","N","N","0","61","26","35","ND","ND","ND","138","ND","ND","JA","N",NA
"17","20040819_SCI_ND_06","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:49",22,49,"8/19/2004 23:22","ASSP","1901-38345","N","N","4","64","25","39","14.12","39.03","23.75","142","ND","F","HMN","N","RADIO = 4583; HR THINKS MALE"
"18","20040819_SCI_ND_07","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:49",22,49,"8/19/2004 22:59","ASSP","1901-38346","N","N","3","60","26","34","14.89","36.9","23.48","145","ND","ND","JA","N",NA
"19","20040819_SCI_ND_08","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 23:43",23,43,"8/19/2004 23:54","ASSP","1901-38347","N","N","0","62","26","36","15.11","38.54","24.35","150","ND","ND","HMN","N",NA
"20","20040819_SCI_ND_09","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/20/2004 0:20",0,20,"8/20/2004 0:33","ASSP","1901-38348","N","N","4.5","62","26","36","15.23","37.4","23.9","142","ND","ND","HG","N",NA
"21","20040819_SCI_ND_10","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/20/2004 0:43",0,43,"8/20/2004 0:54","ASSP","1901-38349","N","N","4.5","62","31","31","14.8","38.56","24.12","146","ND","ND","HG","N",NA
"22","20040819_SCI_ND_11","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/20/2004 1:00",1,0,"8/20/2004 1:16","ASSP","1901-38350","N","N","4","64","31","33","14.49","38.67","24.91","142","ND","ND","HG","N",NA
"23","20040624_SCI_ND_01","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/24/2004 23:48",23,48,"6/24/2004 23:53","ASSP","1961-16168","N","N","3","68","27","41","14.95","39.83","24.05","149","ND","ND","JA","N",NA
"24","20040624_SCI_ND_02","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/24/2004 23:55",23,55,"6/24/2004 23:58","ASSP","1961-16169","N","N","0","60","27","33","15.15","39.04","23.25","140","ND","ND","JA","N",NA
"25","20040624_SCI_ND_03","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:05",0,5,"ND","ASSP","1961-16170","N","N","2","47","13","34","14.48","38.02","22.63","145","ND","ND","JA","N",NA
"26","20040624_SCI_ND_04","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:08",0,8,"6/25/2004 0:18","ASSP","1961-16171","N","N","0","48","13","35","13.26","37.89","23.88","144","ND","ND","JA","N",NA
"27","20040624_SCI_ND_05","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:12",0,12,"6/25/2004 0:25","ASSP","1961-16172","N","N","0","61","26","35","14.51","38.62","23.25","140","ND","ND","JA","N",NA
"28","20040624_SCI_ND_06","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:20",0,20,"6/25/2004 0:33","ASSP","1961-16173","N","N","0","50","14","36","15.22","39.29","23.58","142","ND","ND","JA","N",NA
"29","20040624_SCI_ND_07","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:25",0,25,"6/25/2004 0:36","ASSP","1961-16174","N","N","0","59","25","34","14.69","37.63","23.46","142","ND","ND","JA","N",NA
"30","20040624_SCI_ND_08","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:38",0,38,"6/25/2004 0:42","ASSP","1961-16175","N","N","1","63","25","38","14.56","37.64","22.75","145","ND","ND","JA","N",NA
"31","20040624_SCI_ND_09","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:42",0,42,"6/25/2004 0:51","ASSP","1961-16176","N","N","4","61","25","36","15.86","39.49","22.74","147","ND","ND","JA","N",NA
"32","20040624_SCI_ND_10","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:48",0,48,"6/25/2004 1:05","ASSP","1961-16177","N","N","0","50","13","37","14.71","37.47","21.97","140","ND","ND","JA","N",NA
"33","20040624_SCI_ND_11","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:50",0,50,"6/25/2004 1:08","ASSP","1961-16178","N","N","3","60","25","35","14.18","36.34","22.76","143","ND","ND","JA","N",NA
"34","20040624_SCI_ND_12","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:50",0,50,"6/25/2004 1:10","ASSP","1961-16179","N","N","2","51","13","38","14.47","38.7","23.25","144","ND","ND","JA","N",NA
"35","20040624_SCI_ND_13","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 0:52",0,52,"6/25/2004 1:13","ASSP","1961-16180","N","N","2","60","23","37","14.93","38.2","23.24","146","ND","ND","JA","N","INJURED AULA IN NET - BLEEDING"
"36","20040624_SCI_ND_14","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 1:30",1,30,"6/25/2004 1:41","ASSP","1961-16182","N","N","2","68","30","38","15.49","39.02","22.8","149","ND","ND","JA","N",NA
"37","20040624_SCI_ND_15","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 1:30",1,30,"6/25/2004 1:44","ASSP","1961-16183","N","N","3","62","26","36","14.85","38.13","24.25","142","ND","ND","JA","N",NA
"38","20040624_SCI_ND_16","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 1:49",1,49,"6/25/2004 2:01","ASSP","1961-16184","N","N","0","55","22","33","14.76","38.5","23.21","139","ND","ND","JA","N",NA
"39","20040624_SCI_ND_17","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 1:56",1,56,"6/25/2004 2:02","ASSP","1961-16185","N","N","2","50","13","37","ND","ND","22.48","142","ND","ND","JA","N",NA
"40","20040624_SCI_ND_18","20040624_SCI_ND",6,24,2004,"SCI","SR","ND","ND","ND","6/25/2004 1:56",1,56,"6/25/2004 2:04","ASSP","1961-16186","N","N","2","50","13","37","ND","ND","ND","ND","ND","ND","JA","N",NA
"41","20150715_SMI_PI1_01","20150715_SMI_PI1",7,15,2015,"SMI","PI","PI1","34.056323","-120.332024","7/16/2015 1:59",1,59,"ND","ASSP","1971-02429","N","N","2","56","22","34","15","37.3","23.5","145","ND","ND","ND","N",NA
"42","20150715_SMI_PI1_02","20150715_SMI_PI1",7,15,2015,"SMI","PI","PI1","34.056323","-120.332024","7/16/2015 2:00",2,0,"ND","ASSP","1971-02430","N","N","3","66","25","41","14.8","38.3","22.6","136","ND","ND","ND","N",NA
"43","20160802_SCI_SR1_01","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 0:11",0,11,"8/3/2016 0:19","ASSP","2461-03734","N","N","0","35","0","35","14.1","37.1","23.2","140","ND","ND","AJD, JAH","N",NA
"44","20160802_SCI_SR1_02","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 0:24",0,24,"8/3/2016 0:30","ASSP","2461-03735","N","N","0","36","0","36","15.2","38.3","22.8","142","ND","ND","AJD, JAH","N",NA
"45","20160802_SCI_SR1_03","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 1:05",1,5,"8/3/2016 1:15","ASSP","2461-03736","N","N","0","37","0","37","15","37.8","24.1","140","ND","ND","AJD, JAH","N",NA
"46","20160802_SCI_SR1_04","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 1:13",1,13,"8/3/2016 1:21","ASSP","2461-03737","N","N","0","34","0","34","14.7","38.9","24.5","143","ND","ND","AJD, JAH","N",NA
"47","20160802_SCI_SR1_05","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 1:29",1,29,"8/3/2016 1:37","ASSP","2461-03738","N","N","0","32","0","32","14.8","37.1","23.5","142","ND","ND","AJD, JAH","N",NA
"48","20160802_SCI_SR1_06","20160802_SCI_SR1",8,2,2016,"SCI","SR","SR1","34.047666","-119.547674","8/3/2016 2:02",2,2,"8/3/2016 2:08","ASSP","2461-03739","N","N","1","29","0","29","14.8","37.5","21.5","138","ND","ND","AJD, JAH","N",NA
"49","20160612_SBI_AP_01","20160612_SBI_AP",6,12,2016,"SBI","SBI","AP","33.487622","-119.028535","6/13/2015 0:41",0,41,"6/13/2015 0:42","ASSP","4501-41196","SNR","N","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","AAY, DMM, GRK","N","Same night recapture"
"50","20160612_SBI_AP_02","20160612_SBI_AP",6,12,2016,"SBI","SBI","AP","33.487622","-119.028535","6/13/2015 1:25",1,25,"6/13/2015 1:31","ASSP","4501-41199","N","N","3","37","0","37","14.6","38.9","26","145","ND","ND","AAY, DMM, GRK","N",NA
"51","20170612_SBI_AP_01","20170612_SBI_AP",6,12,2017,"SBI","SBI","AP","33.487622","-119.028535","6/13/2015 1:32",1,32,"ND","ASSP","4501-41200","N","N","0","34","0","34","13.8","37.6","23.5","141","ND","ND","AAY, DMM, GRK","N",NA
"52","20100606_SBI_SRO_01","20100606_SBI_SRO",6,6,2010,"SBI","SBI","SRO","33.484214","-119.034674","6/7/2010 0:50",0,50,"ND","ASSP","4501-41311","N","N","3","74","26","48","14.3","ND","23.3","146","ND","ND","ALH, SKT, SLA","N",NA
"53","20120827_SBI_ESP_01","20120827_SBI_ESP",8,27,2012,"SBI","SBI","ESP","33.482528","-119.041599","8/27/2011 22:35",22,35,"8/27/2011 22:44","ASSP","4501-41448","N","N","4","35","0","35","13.6","ND","22.7","136","ND","ND","SKT, AAY, MEJ, LAH","N",NA
"54","20120827_SBI_ESP_02","20120827_SBI_ESP",8,27,2012,"SBI","SBI","ESP","33.482528","-119.041599","8/27/2011 23:16",23,16,"8/27/2011 23:24","ASSP","4501-41449","N","N","4","40","0","40","13.89","ND","24.98","148","ND","ND","SKT, AAY, MEJ, LAH","N",NA
"55","20110727_ANI_RR_01","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 21:12",21,12,"ND","ASSP","4501-41708","N","N","3","31","0","31","13","ND","22.6","136","ND","ND","ALH, DMM, REW, MWP","N",NA
"56","20110727_ANI_RR_02","20110727_ANI_RR",7,27,2011,"ANI","WAI","RR","34.013764","-119.442644","7/27/2011 22:55",22,55,"ND","ASSP","4501-41709","N","N","3","39","0","39","14.1","ND","24.5","146","ND","ND","ALH, DMM, REW, MWP","N","Feathers worn"
