"session_ID","island_code","subisland_code","site_code","site_name","lat","long","month","day","year","series_ID","app_sunset","std_ending","net_open_1","net_close_1","net_open_2","net_close_2","net_open_3","net_close_3","net_open_4","net_close_4","net_open_5","net_close_5","min","min_std","ASSP","ASSPstd","CPUEraw","CPUEstd","net_mesh","net_dim","spp_audio_file","dB_level","speaker_system","data_repository","notes","flagged","flagged_notes"
"19940616_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,16,1994,1,"6/16/1994 20:09","6/17/1994 1:27","6/17/1994 1:36","6/17/1994 2:40",NA,NA,NA,NA,NA,NA,NA,NA,64,0,1,0,0.015625,NA,"38 mm","12 x 2.6 m","ASSP","ND","Tape recorder","Pt Blue","Several large petrels fluttered over tape recorder around 02:00, one bounced out of net (probably BLSP)","N",NA
"19940703_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,3,1994,1,"7/3/1994 20:11","7/4/1994 1:29","7/4/1994 0:30","7/4/1994 3:30",NA,NA,NA,NA,NA,NA,NA,NA,180,59.03333333,6,0,0.033333333,0,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"N",NA
"19940713_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,13,1994,1,"7/13/1994 20:08","7/14/1994 1:26","7/14/1994 0:00","7/14/1994 3:00",NA,NA,NA,NA,NA,NA,NA,NA,180,86.68333333,9,7,0.05,0.080753701,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"N",NA
"19960606_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,6,1996,1,"6/6/1996 20:05","6/7/1996 1:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,28,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"Y","No net open time"
"19960717_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,17,1996,1,"7/17/1996 20:06","7/18/1996 1:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"Y","No net open time"
"19960815_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,15,1996,1,"8/15/1996 19:43","8/16/1996 1:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","Most of the brood patches were refeathering","Y","No net open time"
"19990610_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,10,1999,1,"6/10/1999 20:06","6/11/1999 1:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,16,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","Duration 3 hours re 1999 PRBO report. D=downy, PD=partly downy, B=bare","Y","No net open time"
"19990714_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,14,1999,1,"7/14/1999 20:08","7/15/1999 1:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","19 BLSP! Duration 3 hours re 1999 PRBO report","Y","No net open time"
"20040717_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,17,2004,1,"7/17/2004 20:06","7/18/2004 1:24","7/17/2004 21:31","7/17/2004 23:59","7/18/2004 0:40","7/18/2004 2:36",NA,NA,NA,NA,NA,NA,264,192.8333333,42,31,0.159090909,0.160760588,"ND","ND","ND","ND","ND","USGS","CLEAR 0 MOON, WIND W- NW 10 KTS","Y","High CPUE, need to verify"
"20040718_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,18,2004,2,"7/18/2004 20:06","7/19/2004 1:24","7/18/2004 21:31","7/19/2004 2:30",NA,NA,NA,NA,NA,NA,NA,NA,299,233.3333333,27,17,0.090301003,0.072857143,"ND","ND","ND","ND","ND","USGS","MINUS 5 MINUTES VOCAL OFF; WNW 10 KTS SLIVER MOON","N",NA
"20040814_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,14,2004,1,"8/14/2004 19:44","8/15/2004 1:02","8/14/2004 21:30","8/15/2004 2:33",NA,NA,NA,NA,NA,NA,NA,NA,303,212.4666667,7,6,0.02310231,0.028239724,"ND","ND","ND","ND","ND","USGS","TOP PANNEL BLOWN - 1.0 M SQ., 2 BLSP; NW 5-10 KTS, MOSTLY CLEAR - PATCHY FOG, 0 MOON","N",NA
"20040815_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,15,2004,2,"8/15/2004 19:43","8/16/2004 1:01","8/15/2004 21:36","8/16/2004 1:34",NA,NA,NA,NA,NA,NA,NA,NA,238,205.3833333,13,11,0.054621849,0.053558387,"ND","ND","ND","ND","ND","USGS","TOP PANNEL BLOWN - 1.0 M SQ., 1 BLSP","N",NA
"20040816_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,16,2004,3,"8/16/2004 19:42","8/17/2004 1:00","8/16/2004 21:30","8/17/2004 1:30",NA,NA,NA,NA,NA,NA,NA,NA,240,210.2666667,4,4,0.016666667,0.019023462,"ND","ND","ND","ND","ND","USGS","MINUS 5 MIN., 4 BLSP - CALM","N",NA
"20050708_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,8,2005,1,"7/8/2005 20:10","7/9/2005 1:28","7/8/2005 21:36","7/9/2005 2:36",NA,NA,NA,NA,NA,NA,NA,NA,300,232.15,19,14,0.063333333,0.060305837,"ND","ND","ND","ND","ND","USGS","8-10 KTS, MARTHA BROWN AND PAIGE MARTIN","N",NA
"20050709_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,9,2005,2,"7/9/2005 20:09","7/10/2005 1:27","7/9/2005 23:24","7/10/2005 3:30",NA,NA,NA,NA,NA,NA,NA,NA,246,123.9,21,6,0.085365854,0.04842615,"ND","ND","ND","ND","ND","USGS","1 BLSP","N",NA
"20050731_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,31,2005,1,"7/31/2005 19:57","8/1/2005 1:15","7/31/2005 21:00","8/1/2005 2:04",NA,NA,NA,NA,NA,NA,NA,NA,304,255.9833333,21,17,0.069078947,0.066410574,"ND","ND","ND","ND","ND","USGS","4 BLSP; WIND 10-15 KTS, THEN CALM BY 0:00; 95% OC","N",NA
"20050801_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,1,2005,2,"8/1/2005 19:57","8/2/2005 1:15","8/1/2005 21:00","8/2/2005 2:04",NA,NA,NA,NA,NA,NA,NA,NA,304,255.1666667,27,21,0.088815789,0.082299151,"ND","ND","ND","ND","ND","USGS","1 LESP; 100 OCAST, WNW 5 KTS, CALM AT 22:00","N",NA
"20140705_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,5,2014,1,"7/5/2014 20:10","7/6/2014 1:28","7/5/2014 21:00","7/6/2014 1:00",NA,NA,NA,NA,NA,NA,NA,NA,240,240,22,22,0.091666667,0.091666667,"30 mm","18 x 2.6 m ","ASSP, BLSP, LESP","ND","Triangle speaker connected to iPod","CIES field notebooks","On arch, 1 net. Used vocalization start/end for net open/closed. Ran out of bands at end of night, same night recaps UNK.","N",NA
"20140706_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,6,2014,2,"7/6/2014 20:10","7/7/2014 1:28","7/6/2014 20:55","7/7/2014 0:29",NA,NA,NA,NA,NA,NA,NA,NA,214,214,1,1,0.004672897,0.004672897,"30 mm","18 x 2.6 m ","ASSP, BLSP, LESP","ND","Triangle speaker connected to iPod","CIES field notebooks","2 nets used. Used vocalization start/end for net open/closed. No net close time recorded, only capture at 00:29, used as end time.","N",NA
"20140720_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,20,2014,1,"7/20/2014 20:05","7/21/2014 1:23","7/20/2014 23:22","7/21/2014 2:10","7/21/2014 2:30","7/21/2014 4:26",NA,NA,NA,NA,NA,NA,284,121.6166667,47,18,0.165492958,0.14800603,"ND","ND","ND","ND","ND","CIES field notebooks","1 net, middle Arch, speaker to south. Call back off 02:10-02:30.","N",NA
"20140821_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,21,2014,1,"8/21/2014 19:37","8/22/2014 0:55","8/21/2014 23:04","8/22/2014 0:16","8/22/2014 0:26","8/22/2014 2:10",NA,NA,NA,NA,NA,NA,176,101.2166667,9,6,0.051136364,0.059278775,"ND","ND","ND","ND","ND","CIES field notebooks","1 net speaker east on Arch. Paused callback 00:16-00:26 due to BNOW.","N",NA
"20150612_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,12,2015,1,"6/12/2015 20:07","6/13/2015 1:25","6/12/2015 21:15","6/13/2015 2:00",NA,NA,NA,NA,NA,NA,NA,NA,285,250.6,18,18,0.063157895,0.071827614,"ND","12 x 2.6 m","ASSP","<100","Triangular speakers with iPod.","CIES field notebooks","Speaker dB max at 99.7dB, change speaker at 23:50","N",NA
"20150709_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,9,2015,1,"7/9/2015 20:10","7/10/2015 1:28","7/9/2015 20:11","7/10/2015 1:43",NA,NA,NA,NA,NA,NA,NA,NA,332,317.05,12,9,0.036144578,0.02838669,"ND","12 x 2.6 m","ASSP","~100","Triangular speakers with iPod.","CIES field notebooks","No end time recorded, used last capture time for end time. Poss BNOW heard at 22:10.","N",NA
"20150723_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,23,2015,1,"7/23/2015 20:04","7/24/2015 1:22","7/23/2015 21:00","7/24/2015 2:00",NA,NA,NA,NA,NA,NA,NA,NA,300,262.05,16,15,0.053333333,0.057240985,"38 mm","12 x 2.6 m","ASSP","~100","Triangular speakers with iPod.","CIES field notebooks","2nd BLSP captured could be same night recapture (not banded)","N",NA
"20150808_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,8,2015,1,"8/8/2015 19:51","8/9/2015 1:09","8/8/2015 20:25","8/9/2015 2:00",NA,NA,NA,NA,NA,NA,NA,NA,335,284.45,12,10,0.035820896,0.035155563,"38 mm","12 x 2.6 m","ASSP","~100","Triangular speakers with iPod.","CIES field notebooks","2nd and 3rd BLSP captured could be same night recaptures? 16 boats with lights on in Landing Cove","N",NA
"20150910_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,9,10,2015,1,"9/10/2015 19:11","9/11/2015 0:29","9/10/2015 21:07","9/11/2015 0:55",NA,NA,NA,NA,NA,NA,NA,NA,228,202.7,1,1,0.004385965,0.004933399,"38 mm","12 x 2.6 m","ASSP","~100","Triangular speakers with iPod.","CIES field notebooks","Loud south swell","N",NA
"20160505_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,5,5,2016,1,"5/5/2016 19:43","5/6/2016 1:01","5/5/2016 21:30","5/6/2016 0:15",NA,NA,NA,NA,NA,NA,NA,NA,165,165,14,14,0.084848485,0.084848485,"ND","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","Ended early due to wind.","N",NA
"20160601_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,1,2016,1,"6/1/2016 20:02","6/2/2016 1:20","6/1/2016 21:00","6/2/2016 2:05",NA,NA,NA,NA,NA,NA,NA,NA,305,260.5166667,16,16,0.052459016,0.061416416,"ND","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","Captured Jouanin's petrel","N",NA
"20160602_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,2,2016,2,"6/2/2016 20:03","6/3/2016 1:21","6/2/2016 21:00","6/3/2016 2:05",NA,NA,NA,NA,NA,NA,NA,NA,305,261.0833333,20,16,0.06557377,0.061283115,"ND","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","2 bounce-outs","N",NA
"20160706_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,6,2016,1,"7/6/2016 20:10","7/7/2016 1:28","7/6/2016 20:30","7/7/2016 2:00",NA,NA,NA,NA,NA,NA,NA,NA,330,298.55,35,30,0.106060606,0.100485681,"30 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks",NA,"N",NA
"20160708_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,8,2016,2,"7/8/2016 20:10","7/9/2016 1:28","7/8/2016 21:00","7/9/2016 2:13",NA,NA,NA,NA,NA,NA,NA,NA,313,268.1166667,15,12,0.047923323,0.044756636,"30 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","10 bounce-outs","N",NA
"20160803_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,3,2016,1,"8/3/2016 19:55","8/4/2016 1:13","8/3/2016 20:27","8/4/2016 2:03",NA,NA,NA,NA,NA,NA,NA,NA,336,286.35,10,8,0.029761905,0.027937838,"30 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","5 bounce-outs","N",NA
"20160804_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,4,2016,2,"8/4/2016 19:54","8/5/2016 1:12","8/4/2016 20:31","8/5/2016 0:00",NA,NA,NA,NA,NA,NA,NA,NA,209,209,8,8,0.038277512,0.038277512,"30 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks",NA,"N",NA
"20170525_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,5,25,2017,1,"5/25/2017 19:57","5/26/2017 1:15","5/25/2017 21:25","5/26/2017 2:00",NA,NA,NA,NA,NA,NA,NA,NA,275,230.9666667,15,14,0.054545455,0.060614807,"ND","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","Light boat just outside Landing Cove, lighting up area, turned on ~12:30.","N",NA
"20170622_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,22,2017,1,"6/22/2017 20:10","6/23/2017 1:28","6/22/2017 20:30","6/23/2017 2:00",NA,NA,NA,NA,NA,NA,NA,NA,330,298.65,28,24,0.084848485,0.080361627,"30 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","3 boats in Landing Cove","N",NA
"20180512_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,5,12,2018,1,"5/12/2018 19:48","5/13/2018 1:06","5/12/2018 20:55","5/13/2018 2:10",NA,NA,NA,NA,NA,NA,NA,NA,315,251.3833333,32,24,0.101587302,0.095471723,"38 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks",NA,"N",NA
"20180610_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,10,2018,1,"6/10/2018 20:06","6/11/2018 1:24","6/10/2018 22:00","6/11/2018 0:00","6/11/2018 0:10","6/11/2018 3:00",NA,NA,NA,NA,NA,NA,290,194.8666667,36,25,0.124137931,0.12829285,"38 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","2 bands overcrimped, took awhile to fix. 10min break for BNOW presence, net closed & audio off, 0:00-0:10","N",NA
"20180708_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,8,2018,1,"7/8/2018 20:10","7/9/2018 1:28","7/8/2018 21:00","7/9/2018 0:35","7/9/2018 0:45","7/9/2018 1:05",NA,NA,NA,NA,NA,NA,235,235,20,20,0.085106383,0.085106383,"38 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","6 bounce-outs. 0:35 speaker out of batteries, connected to external battery and charged for ten minutes. Light boat in Landing Cove at start. ","N",NA
"20180813_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,13,2018,1,"8/13/2018 19:46","8/14/2018 1:04","8/13/2018 21:10","8/14/2018 2:10",NA,NA,NA,NA,NA,NA,NA,NA,300,234.2166667,13,4,0.043333333,0.017078204,"38 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","No end time listed, used last capture time. 2 bounce-outs.","N",NA
"20180814_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,14,2018,2,"8/14/2018 19:45","8/15/2018 1:03","8/14/2018 21:08","8/15/2018 1:50",NA,NA,NA,NA,NA,NA,NA,NA,282,235.15,9,5,0.031914894,0.021263024,"38 mm","12 x 2.6 m","ASSP","~100","JBL charge speaker","CIES field notebooks","No end time listed, used last capture time. 3 bounce-outs.","N",NA
"19940503_ANI_CC","ANI","EAI","CC","Cathedral Cove",34.014197,-119.371283,5,3,1994,1,"5/3/1994 19:43","5/4/1994 1:01","5/3/1994 20:30","5/4/1994 2:20",NA,NA,NA,NA,NA,NA,NA,NA,350,271.9,1,1,0.002857143,0.003677823,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx sky clear, SW wind 5 kts. No wind @ 21:40. 20:58 WEGU in net, lights from mainland highly visible, light from lighthouse not a factor nor foghorn. 2:20 closed down net due to no activity.","N",NA
"19940505_ANI_CC","ANI","EAI","CC","Cathedral Cove",34.014197,-119.371283,5,5,1994,2,"5/5/1994 19:45","5/6/1994 1:03","5/5/1994 20:43","5/6/1994 4:20",NA,NA,NA,NA,NA,NA,NA,NA,457,260.4833333,5,3,0.010940919,0.011517052,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx partly cloudy, NW wind 15 kts, lights from platform and mainland, no foghorn. 22:00 lots of lightening high in sky. 24:00 clear, wind 0-5 kts. ","N",NA
"20110626_ANI_CC","ANI","EAI","CC","Cathedral Cove",34.014197,-119.371283,6,26,2011,1,"6/26/2011 20:13","6/27/2011 1:31","6/26/2011 21:36","6/27/2011 0:42","6/27/2011 0:42","6/27/2011 2:53",NA,NA,NA,NA,NA,NA,317,235.8833333,3,3,0.009463722,0.012718152,"38 mm","9 x 2.6 m","ASSP","ND","Multiple","CIES field notebooks","Net site #6 in Harry Carter's map. Start with mp3, speakers died 0:42. BNOW flying around. Switched to stereo for net_open_2, CD briefly stopped 0:46. ","Y","Switched speaker system."
"20100415_SCI_DR","SCI","DR","DR","Diablo Rock",34.058036,-119.766572,4,15,2010,1,"4/15/2010 19:31","4/16/2010 0:49","4/16/2010 0:35","4/16/2010 2:10",NA,NA,NA,NA,NA,NA,NA,NA,95,14.3,3,0,0.031578947,0,"ND","ND","ND","ND","ND","CIES field notebooks","Bill McIver has rest of data for 2010 (?)","N",NA
"19940415_ANI_EAI_N","ANI","EAI","EAI_N","EAI North side, dock area",34.016411,-119.362333,4,15,1994,1,"4/15/1994 19:29","4/16/1994 0:47","4/15/1994 20:36","4/15/1994 21:05","4/15/1994 21:20","4/15/1994 22:00","4/15/1994 22:15","4/15/1994 23:01","4/15/1994 23:18","4/16/1994 2:57","4/16/1994 3:27","4/16/1994 4:50",417,204.75,17,7,0.040767386,0.034188034,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx clear, cool, NW wind 5-8 kts, moon waxing crescent. 21:30 thick high fog layer moved in, foghorn 2 sec blast followed by 12 sec silence. 23:01 fog moved out.","N",NA
"19940502_ANI_EAI_N","ANI","EAI","EAI_N","EAI North side, dock area",34.016411,-119.362333,5,2,1994,1,"5/2/1994 19:43","5/3/1994 1:01","5/2/1994 21:30","5/2/1994 22:00","5/2/1994 22:15","5/2/1994 23:00","5/2/1994 23:15","5/2/1994 23:50","5/2/1994 23:50","5/3/1994 0:20","5/3/1994 0:20","5/3/1994 3:40",340,181.0833333,NA,NA,NA,NA,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx clear with distant clouds, NW wind 10-15 kts. 22:45 wind gusting 15-20 kts. 23:24 wind dropping. 0:49 wind <5 kts. 22:45 net fell down. Tape player did not work from 23:50-0:20 but eventually restarted.","Y","Different site? Need to determine series night."
"19940504_ANI_EAI_N","ANI","EAI","EAI_N","EAI North side, dock area",34.016411,-119.362333,5,4,1994,2,"5/4/1994 19:44","5/5/1994 1:02","5/4/1994 20:30","5/5/1994 5:20",NA,NA,NA,NA,NA,NA,NA,NA,530,272.6666667,9,5,0.016981132,0.018337408,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx partly cloudy, NW wind 5-10 kts, gusting to 15 kts. 23:27 fogbank has obscured mainland lights but still have lighthouse and ranger's house lights. 0:05 wind 0-5 kts, oil platform visible. 21:11 heard ASSP and SCMU calling. 23:27 CAAU called nearby, 1st heard, occasional SCMU calling from Landing Cove.","N",NA
"19940607_ANI_EAI_N","ANI","EAI","EAI_N","EAI North side, dock area",34.016411,-119.362333,6,7,1994,1,"6/7/1994 20:08","6/8/1994 1:26","6/7/1994 21:05","6/8/1994 3:00",NA,NA,NA,NA,NA,NA,NA,NA,355,261.2833333,1,1,0.002816901,0.003827263,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx ND. From 21:47 to 2:44, ASSP sporadically calling and flying over net.","N",NA
"20110626_ANI_EAI_N","ANI","EAI","EAI_N","EAI North side, dock area",34.016411,-119.362333,6,26,2011,1,"6/26/2011 20:13","6/27/2011 1:31","6/26/2011 21:30","6/27/2011 0:33",NA,NA,NA,NA,NA,NA,NA,NA,183,183,NA,NA,NA,NA,"38 mm","9 x 2.6 m","ASSP","ND","ND","CIES field notebooks","Unknown vocals, likely ASSP. Can see light from ranger house and Lighthouse. Mucho viento, ~15-20 kts and chilly. Sound stopped 0:33, CD player also not working.","N",NA
"19940416_ANI_EAI_S","ANI","EAI","EAI_S","EAI South Ridge",34.014217,-119.365644,4,16,1994,1,"4/16/1994 19:30","4/17/1994 0:48","4/16/1994 20:30","4/16/1994 21:26",NA,NA,NA,NA,NA,NA,NA,NA,56,56,NA,NA,NA,NA,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx overcast, cool, NW wind 5 kts. Heard first SCMU 20:11. Closed net early because too windy.","N",NA
"20110728_ANI_EAI_S","ANI","EAI","EAI_S","EAI South Ridge",34.014217,-119.365644,7,28,2011,1,"7/28/2011 20:03","7/29/2011 1:21","7/28/2011 21:04","7/29/2011 1:00",NA,NA,NA,NA,NA,NA,NA,NA,236,236,NA,NA,NA,NA,"38 mm","9 x 2.6 m","ASSP","ND","MP3, CD player","CIES field notebooks","Netting 60m west of water catchment. Much ambient light, stars, mainland, light house. Several petrels flew around.","N",NA
"19940417_ANI_EAI_SW","ANI","EAI","EAI_SW","EAI SW end",34.013008,-119.374161,4,17,1994,1,"4/17/1994 19:31","4/18/1994 0:49","4/17/1994 20:26","4/18/1994 2:00","4/18/1994 2:15","4/18/1994 3:00",NA,NA,NA,NA,NA,NA,379,263.3333333,3,3,0.007915567,0.011392405,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx mostly clear, NW wind 5 kts with gusts, 1/3 waxing moon. 21:15 more windy but variable. 01:20 moon set. Heard first SCMU 20:50.","N",NA
"19940504_ANI_EAI_SW","ANI","EAI","EAI_SW","EAI SW end",34.013008,-119.374161,5,4,1994,1,"5/4/1994 19:44","5/5/1994 1:02","5/5/1994 3:00","5/5/1994 5:20",NA,NA,NA,NA,NA,NA,NA,NA,140,0,NA,NA,NA,NA,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx 1/4 moon to east horizon. 4:00 WEGU hit net. No captures identified in banding list. ","N",NA
"19940502_ANI_EAI_W","ANI","EAI","EAI_W","EAI west of lighthouse",34.016017,-119.359978,5,2,1994,1,"5/2/1994 19:43","5/3/1994 1:01","5/2/1994 21:14","5/3/1994 4:05",NA,NA,NA,NA,NA,NA,NA,NA,411,227.0666667,6,1,0.01459854,0.004403993,"ND","9 x 2.6 m","ASSP","ND","Small cassette player","Carter & Whitworth 2013 report","Wx clear sky, NW wind 10-15 kts, down to 5-8 kts @ 23:19. 21:14 net billowing in wind, light from lighthouse could be a problem. 22:42 CAAU heard flying by, no ASSP activity yet. 02:55 WEGU in net, removed. 04:05 no SCMU survey conducted, too much activity. ","N",NA
"19940712_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,7,12,1994,1,"7/12/1994 20:09","7/13/1994 1:27","7/12/1994 23:35","7/13/1994 2:35",NA,NA,NA,NA,NA,NA,NA,NA,180,112.0833333,18,13,0.1,0.11598513,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"N",NA
